URL,TIME,SIZE
segment_1080p_1.m4s,1638760902807.1628,1250617
segment_360p_1.m4s,1638760908273.3433,202182
segment_720p_1.m4s,1638760909508.6665,865133
segment_144p_2.m4s,1638760913405.4294,24116
segment_360p_2.m4s,1638760913929.9368,181391
segment_720p_2.m4s,1638760915086.5142,582615
segment_144p_3.m4s,1638760917851.0515,28590
segment_144p_4.m4s,1638760918178.6152,30825
segment_360p_3.m4s,1638760918728.1477,190757
segment_360p_4.m4s,1638760919703.9067,225696
segment_360p_5.m4s,1638760920820.5916,173657
segment_360p_6.m4s,1638760921726.5422,291902
segment_360p_7.m4s,1638760923107.4062,253476
segment_360p_8.m4s,1638760924337.028,313572
segment_1080p_6.m4s,1638760929033.6365,1203283
segment_720p_7.m4s,1638760934299.0715,893352
segment_720p_8.m4s,1638760938100.087,1045994
segment_144p_9.m4s,1638760942727.0764,30813
segment_144p_10.m4s,1638760943058.6135,40806
segment_360p_10.m4s,1638760943646.236,331614
segment_360p_11.m4s,1638760945188.542,309272
segment_360p_12.m4s,1638760946643.0657,320189
segment_360p_13.m4s,1638760948139.7039,308431
segment_360p_14.m4s,1638760949586.7573,327211
segment_360p_15.m4s,1638760952115.3928,286016
segment_720p_13.m4s,1638760956196.0454,974263
segment_720p_14.m4s,1638760960320.2966,970955
segment_720p_15.m4s,1638760964437.8599,979197
segment_144p_16.m4s,1638760968792.0088,30400
segment_144p_17.m4s,1638760969121.947,45643
segment_144p_18.m4s,1638760969512.5105,29150
segment_360p_17.m4s,1638760970057.3518,332390
segment_360p_18.m4s,1638760971599.0608,233176
segment_360p_19.m4s,1638760972744.9392,220516
segment_360p_20.m4s,1638760973841.793,247159
segment_360p_21.m4s,1638760975044.26,256705
segment_1080p_19.m4s,1638760977503.9983,1025152
segment_1080p_20.m4s,1638760981832.8325,1284533
segment_720p_21.m4s,1638760987418.106,892770
segment_144p_22.m4s,1638760991436.872,39140
segment_360p_22.m4s,1638760992024.9226,297881
segment_360p_23.m4s,1638760993437.809,225188
segment_360p_24.m4s,1638760994555.7742,342751
segment_360p_25.m4s,1638760996141.5747,273559
segment_360p_26.m4s,1638760997453.4612,324346
segment_360p_27.m4s,1638761000474.8635,299669
segment_360p_28.m4s,1638761004394.1475,299859
segment_720p_26.m4s,1638761008523.5044,1176281
segment_720p_27.m4s,1638761013459.3267,1152376
segment_720p_28.m4s,1638761018305.1519,1008718
segment_144p_29.m4s,1638761022785.8115,38053
segment_360p_29.m4s,1638761023363.2651,295688
segment_360p_30.m4s,1638761024762.21,344337
segment_360p_31.m4s,1638761026358.193,290096
segment_360p_32.m4s,1638761027735.9998,336122
segment_360p_33.m4s,1638761029298.9001,297474
segment_360p_34.m4s,1638761030706.604,334339
segment_360p_35.m4s,1638761034768.1382,290883
segment_720p_33.m4s,1638761039362.8691,958371
segment_720p_34.m4s,1638761043421.3694,1154014
segment_720p_35.m4s,1638761048269.5784,1025620
segment_144p_36.m4s,1638761052814.621,25025
segment_144p_37.m4s,1638761053123.2002,14230
segment_144p_38.m4s,1638761053393.16,15887
segment_360p_37.m4s,1638761053884.772,146360
segment_360p_38.m4s,1638761054677.6445,119079
segment_360p_39.m4s,1638761055366.3135,151317
segment_360p_40.m4s,1638761056181.4282,117435
segment_360p_41.m4s,1638761056864.0415,71734
segment_1080p_39.m4s,1638761061580.857,615803
segment_1080p_40.m4s,1638761064263.373,461556
segment_1080p_41.m4s,1638761066327.1177,216305
segment_1080p_42.m4s,1638761067404.9316,998512
segment_1080p_43.m4s,1638761071627.0898,1276029
segment_720p_44.m4s,1638761077192.8984,713137
segment_720p_45.m4s,1638761080275.6165,577988
segment_720p_46.m4s,1638761082811.6277,564599
segment_720p_47.m4s,1638761085291.6228,850044
segment_720p_48.m4s,1638761088912.4302,648040
segment_720p_49.m4s,1638761091736.2544,1014447
segment_720p_50.m4s,1638761096022.8728,760289
segment_720p_51.m4s,1638761099289.1792,584833
segment_720p_52.m4s,1638761101851.2517,631876
segment_720p_53.m4s,1638761104598.289,775171
segment_360p_54.m4s,1638761108643.7468,124082
segment_144p_54.m4s,1638761109564.9192,9879
segment_360p_54.m4s,1638761110031.9832,124082
segment_360p_55.m4s,1638761110737.451,124408
segment_144p_54.m4s,1638761111657.3152,9879
segment_144p_55.m4s,1638761111903.5469,10148
segment_144p_56.m4s,1638761112150.7688,12176
segment_144p_57.m4s,1638761112414.7712,7970
segment_144p_58.m4s,1638761112661.814,8048
segment_144p_59.m4s,1638761112906.1646,4754
