URL,TIME,SIZE
segment_360p_1.m4s,1638773585786.0303,202182
segment_1080p_1.m4s,1638773586621.0857,1250617
segment_1080p_2.m4s,1638773589355.0574,771426
segment_1080p_3.m4s,1638773591128.4583,853304
segment_1080p_4.m4s,1638773593066.5444,1300906
segment_1080p_5.m4s,1638773595907.6072,868728
segment_1080p_6.m4s,1638773597870.119,1203283
segment_1080p_7.m4s,1638773600510.6492,1229601
segment_1080p_8.m4s,1638773603217.9768,1312165
segment_1080p_9.m4s,1638773606079.9272,845341
segment_1080p_10.m4s,1638773607992.8643,1696983
segment_1080p_11.m4s,1638773611633.0244,1775107
segment_1080p_12.m4s,1638773615427.4963,1806885
segment_1080p_13.m4s,1638773619287.9666,1315077
segment_1080p_14.m4s,1638773622148.0586,1175323
segment_1080p_15.m4s,1638773624733.3218,701399
segment_1080p_16.m4s,1638773626360.202,863912
segment_1080p_17.m4s,1638773628313.9346,1515895
segment_1080p_18.m4s,1638773631586.6843,954250
segment_1080p_19.m4s,1638773633723.3281,1025152
segment_1080p_20.m4s,1638773636008.515,1284533
segment_1080p_21.m4s,1638773638813.8057,1223011
segment_1080p_22.m4s,1638773642000.062,1221959
segment_1080p_23.m4s,1638773646182.361,1059117
segment_1080p_24.m4s,1638773650034.6038,1578519
segment_1080p_25.m4s,1638773653936.995,1512766
segment_1080p_26.m4s,1638773658200.3445,1612210
segment_1080p_27.m4s,1638773662168.64,1496282
segment_1080p_28.m4s,1638773665906.287,1387583
segment_1080p_29.m4s,1638773669919.4338,1284418
segment_1080p_30.m4s,1638773674226.262,1810721
segment_1080p_31.m4s,1638773678090.4688,1505822
segment_1080p_32.m4s,1638773682343.461,1747859
segment_1080p_33.m4s,1638773686079.5513,1323883
segment_1080p_34.m4s,1638773689965.4436,1514350
segment_1080p_35.m4s,1638773694233.9639,1316944
segment_1080p_36.m4s,1638773698122.468,894201
segment_1080p_37.m4s,1638773702139.956,549385
segment_1080p_38.m4s,1638773705965.4985,556124
segment_1080p_39.m4s,1638773710299.254,615803
segment_1080p_40.m4s,1638773714254.464,461556
segment_1080p_41.m4s,1638773717897.6875,216305
segment_1080p_42.m4s,1638773722047.377,998512
segment_1080p_43.m4s,1638773726271.9045,1276029
segment_1080p_44.m4s,1638773730061.152,970672
segment_1080p_45.m4s,1638773734232.2021,865361
segment_1080p_46.m4s,1638773738201.4707,785931
segment_1080p_47.m4s,1638773741997.7632,1436136
segment_1080p_48.m4s,1638773746110.7708,905360
segment_1080p_49.m4s,1638773750149.4846,1667343
segment_1080p_50.m4s,1638773753726.752,1137669
segment_1080p_51.m4s,1638773758235.3252,811591
segment_1080p_52.m4s,1638773762086.2126,942703
segment_1080p_53.m4s,1638773766200.653,753832
segment_1080p_54.m4s,1638773769932.584,334564
segment_1080p_55.m4s,1638773774319.97,311011
segment_1080p_56.m4s,1638773778158.8804,364151
segment_1080p_57.m4s,1638773782104.5383,268208
segment_1080p_58.m4s,1638773785853.1113,300106
segment_1080p_59.m4s,1638773789674.1038,127338
