segment_360p_1.m4s,1638772000798.8052,202182
segment_360p_2.m4s,1638772002632.9937,181391
segment_360p_3.m4s,1638772004299.9648,190757
segment_360p_4.m4s,1638772006038.0447,225696
segment_360p_5.m4s,1638772008054.169,173657
segment_360p_6.m4s,1638772011158.5076,291902
segment_360p_7.m4s,1638772015212.9648,253476
segment_360p_8.m4s,1638772018970.1602,313572
segment_360p_9.m4s,1638772023199.6208,257385
segment_360p_10.m4s,1638772026969.3418,331614
segment_360p_11.m4s,1638772030852.9326,309272
segment_360p_12.m4s,1638772035051.791,320189
segment_360p_13.m4s,1638772038829.1675,308431
segment_360p_14.m4s,1638772043012.8438,327211
segment_360p_15.m4s,1638772046861.1716,286016
segment_360p_16.m4s,1638772050864.0493,239042
segment_360p_17.m4s,1638772054997.8499,332390
segment_360p_18.m4s,1638772058872.7283,233176
segment_360p_19.m4s,1638772062956.034,220516
segment_360p_20.m4s,1638772066938.8784,247159
segment_360p_21.m4s,1638772071128.4216,256705
segment_360p_22.m4s,1638772074898.3748,297881
segment_360p_23.m4s,1638772079003.129,225188
segment_360p_24.m4s,1638772083026.731,342751
segment_360p_25.m4s,1638772086989.1196,273559
segment_360p_26.m4s,1638772090894.2905,324346
segment_360p_27.m4s,1638772095216.2788,299669
segment_360p_28.m4s,1638772098830.7295,299859
segment_360p_29.m4s,1638772102943.118,295688
segment_360p_30.m4s,1638772107033.249,344337
segment_360p_31.m4s,1638772111006.3044,290096
segment_360p_32.m4s,1638772115048.4287,336122
segment_360p_33.m4s,1638772118964.2354,297474
segment_360p_34.m4s,1638772123065.5896,334339
segment_360p_35.m4s,1638772126960.3467,290883
segment_360p_36.m4s,1638772130998.4075,198909
segment_360p_37.m4s,1638772134806.7617,146360
segment_360p_38.m4s,1638772139191.7402,119079
segment_360p_39.m4s,1638772142856.3164,151317
segment_360p_40.m4s,1638772147278.8965,117435
URL,TIME,SIZE
segment_360p_41.m4s,1638772150943.428,71734
segment_360p_42.m4s,1638772155230.806,234119
segment_360p_43.m4s,1638772158825.4287,235956
segment_360p_44.m4s,1638772162922.1116,207272
segment_360p_45.m4s,1638772166801.4744,158692
segment_360p_46.m4s,1638772171278.2886,164905
segment_360p_47.m4s,1638772174801.3906,201307
segment_360p_48.m4s,1638772179130.4968,193470
segment_360p_49.m4s,1638772182902.3484,238089
segment_360p_50.m4s,1638772187019.756,221497
segment_360p_51.m4s,1638772191003.4275,168431
segment_360p_52.m4s,1638772195071.4395,176496
segment_360p_53.m4s,1638772199195.6199,198698
segment_360p_54.m4s,1638772203057.962,124082
segment_360p_55.m4s,1638772207269.7927,124408
segment_360p_56.m4s,1638772210978.2163,142987
segment_360p_57.m4s,1638772214844.3267,107643
segment_360p_58.m4s,1638772218919.9473,104950
segment_360p_59.m4s,1638772222976.1804,32337
