URL,TIME,SIZE
segment_1080p_1.m4s,1638761217272.7607,1250617
segment_360p_1.m4s,1638761222728.1128,202182
segment_720p_1.m4s,1638761223967.3943,865133
segment_144p_2.m4s,1638761227867.4,24116
segment_360p_2.m4s,1638761228394.154,181391
segment_720p_2.m4s,1638761229541.078,582615
segment_144p_3.m4s,1638761232305.6025,28590
segment_144p_4.m4s,1638761232633.0938,30825
segment_360p_3.m4s,1638761233182.3223,190757
segment_360p_4.m4s,1638761234154.809,225696
segment_360p_5.m4s,1638761235275.0757,173657
segment_360p_6.m4s,1638761236181.2817,291902
segment_360p_7.m4s,1638761237560.4956,253476
segment_360p_8.m4s,1638761238789.862,313572
segment_1080p_6.m4s,1638761242986.3447,1203283
segment_720p_7.m4s,1638761248244.045,893352
segment_720p_8.m4s,1638761252046.513,1045994
segment_144p_9.m4s,1638761256671.8633,30813
segment_144p_10.m4s,1638761257003.608,40806
segment_360p_10.m4s,1638761257596.443,331614
segment_360p_11.m4s,1638761259144.2395,309272
segment_360p_12.m4s,1638761260597.0317,320189
segment_360p_13.m4s,1638761262094.5793,308431
segment_360p_14.m4s,1638761263542.5322,327211
segment_360p_15.m4s,1638761266075.354,286016
segment_720p_13.m4s,1638761270154.974,974263
segment_720p_14.m4s,1638761274281.805,970955
segment_720p_15.m4s,1638761278394.4263,979197
segment_144p_16.m4s,1638761282755.9421,30400
segment_144p_17.m4s,1638761283091.5813,45643
segment_144p_18.m4s,1638761283488.349,29150
segment_360p_17.m4s,1638761284033.428,332390
segment_360p_18.m4s,1638761285582.1177,233176
segment_360p_19.m4s,1638761286727.6755,220516
segment_360p_20.m4s,1638761287830.1187,247159
segment_360p_21.m4s,1638761289029.8218,256705
segment_1080p_19.m4s,1638761291484.5938,1025152
segment_1080p_20.m4s,1638761295820.8523,1284533
segment_720p_21.m4s,1638761301406.9783,892770
segment_144p_22.m4s,1638761305420.6829,39140
segment_360p_22.m4s,1638761306004.968,297881
segment_360p_23.m4s,1638761307414.84,225188
segment_360p_24.m4s,1638761308535.9988,342751
segment_360p_25.m4s,1638761310120.8767,273559
segment_360p_26.m4s,1638761311430.6038,324346
segment_360p_27.m4s,1638761314447.0981,299669
segment_360p_28.m4s,1638761318364.497,299859
segment_720p_26.m4s,1638761322491.7075,1176281
segment_720p_27.m4s,1638761327432.3525,1152376
segment_720p_28.m4s,1638761332276.9377,1008718
segment_144p_29.m4s,1638761336751.9854,38053
segment_360p_29.m4s,1638761337329.6157,295688
segment_360p_30.m4s,1638761338730.5945,344337
segment_360p_31.m4s,1638761340321.595,290096
segment_360p_32.m4s,1638761341696.9514,336122
segment_360p_33.m4s,1638761343257.6174,297474
segment_360p_34.m4s,1638761344663.947,334339
segment_360p_35.m4s,1638761348716.5688,290883
segment_720p_33.m4s,1638761353309.8015,958371
segment_720p_34.m4s,1638761357369.7751,1154014
segment_720p_35.m4s,1638761362217.7988,1025620
segment_144p_36.m4s,1638761366760.8586,25025
segment_144p_37.m4s,1638761367064.8848,14230
segment_144p_38.m4s,1638761367330.0728,15887
segment_360p_37.m4s,1638761367813.214,146360
segment_360p_38.m4s,1638761368611.6248,119079
segment_360p_39.m4s,1638761369302.097,151317
segment_360p_40.m4s,1638761370117.9097,117435
segment_360p_41.m4s,1638761370799.8506,71734
segment_1080p_39.m4s,1638761375519.0232,615803
segment_1080p_40.m4s,1638761378202.684,461556
segment_1080p_41.m4s,1638761380268.5747,216305
segment_1080p_42.m4s,1638761381350.7593,998512
segment_1080p_43.m4s,1638761385566.94,1276029
segment_720p_44.m4s,1638761391129.3755,713137
segment_720p_45.m4s,1638761394202.194,577988
segment_720p_46.m4s,1638761396734.698,564599
segment_720p_47.m4s,1638761399209.0056,850044
segment_720p_48.m4s,1638761402838.4248,648040
segment_720p_49.m4s,1638761405653.9365,1014447
segment_720p_50.m4s,1638761409940.2876,760289
segment_720p_51.m4s,1638761413204.9282,584833
segment_720p_52.m4s,1638761415759.4905,631876
segment_720p_53.m4s,1638761418508.2622,775171
segment_360p_54.m4s,1638761422541.9377,124082
segment_144p_54.m4s,1638761423464.9055,9879
segment_360p_54.m4s,1638761423927.731,124082
segment_360p_55.m4s,1638761424629.629,124408
segment_144p_54.m4s,1638761425546.5066,9879
segment_144p_55.m4s,1638761425794.3604,10148
segment_144p_56.m4s,1638761426049.3457,12176
segment_144p_57.m4s,1638761426308.1035,7970
segment_144p_58.m4s,1638761426550.619,8048
segment_144p_59.m4s,1638761426798.0244,4754
