URL,TIME,SIZE
segment_144p_23.m4s,1638763681817.429,32535
segment_144p_24.m4s,1638763682538.9998,47375
segment_144p_25.m4s,1638763683519.0154,33443
segment_144p_26.m4s,1638763684261.4707,39101
segment_144p_27.m4s,1638763687105.908,42066
segment_360p_1.m4s,1638763699770.9204,202182
segment_144p_2.m4s,1638763703440.041,24116
segment_144p_3.m4s,1638763704040.3704,28590
segment_144p_4.m4s,1638763704713.4622,30825
segment_144p_5.m4s,1638763707410.162,26665
segment_144p_6.m4s,1638763710050.9746,42178
segment_144p_7.m4s,1638763713959.9912,34303
segment_144p_8.m4s,1638763718224.9333,38992
segment_144p_9.m4s,1638763722068.325,30813
segment_144p_10.m4s,1638763726264.3247,40806
segment_144p_11.m4s,1638763730129.1465,41898
segment_144p_12.m4s,1638763733994.2761,41116
segment_144p_13.m4s,1638763738359.5369,38134
segment_144p_14.m4s,1638763742176.5664,40855
segment_144p_15.m4s,1638763746042.3787,29785
segment_144p_16.m4s,1638763750216.3486,30400
segment_144p_17.m4s,1638763754416.1624,45643
segment_144p_18.m4s,1638763758356.8784,29150
segment_144p_19.m4s,1638763762051.5916,25449
segment_144p_20.m4s,1638763766175.6921,32505
segment_144p_21.m4s,1638763770397.659,33183
segment_144p_22.m4s,1638763774147.9795,39140
segment_144p_23.m4s,1638763777989.2932,32535
segment_144p_24.m4s,1638763782228.5537,47375
segment_144p_25.m4s,1638763786193.9094,33443
segment_144p_26.m4s,1638763789936.576,39101
segment_144p_27.m4s,1638763794283.0188,42066
segment_144p_28.m4s,1638763798172.1897,44600
segment_144p_29.m4s,1638763802107.5205,38053
segment_144p_30.m4s,1638763806419.7542,48282
segment_144p_31.m4s,1638763810410.0488,41977
segment_144p_32.m4s,1638763814295.4626,46974
segment_144p_33.m4s,1638763818258.5942,39026
segment_144p_34.m4s,1638763822096.6782,45199
segment_144p_35.m4s,1638763826036.991,39208
segment_144p_36.m4s,1638763830399.2905,25025
segment_144p_37.m4s,1638763834002.9792,14230
segment_144p_38.m4s,1638763838434.835,15887
segment_144p_39.m4s,1638763842397.2437,20089
segment_144p_40.m4s,1638763846428.906,15324
segment_144p_41.m4s,1638763850391.3008,6363
segment_144p_42.m4s,1638763854205.2083,29452
segment_144p_43.m4s,1638763858386.968,38891
segment_144p_44.m4s,1638763862202.1128,28941
segment_144p_45.m4s,1638763866374.5798,23020
segment_144p_46.m4s,1638763869955.1394,23484
segment_144p_47.m4s,1638763874029.8757,29612
segment_144p_48.m4s,1638763878236.5781,27143
segment_144p_49.m4s,1638763882406.2856,31989
segment_144p_50.m4s,1638763886130.8035,32126
segment_144p_51.m4s,1638763890350.6255,23709
segment_144p_52.m4s,1638763894431.5093,25787
segment_144p_53.m4s,1638763898056.7708,24110
segment_144p_54.m4s,1638763902157.8528,9879
segment_144p_55.m4s,1638763906021.7102,10148
segment_144p_56.m4s,1638763909886.2402,12176
segment_144p_57.m4s,1638763914298.1934,7970
segment_144p_58.m4s,1638763918142.8892,8048
segment_144p_59.m4s,1638763921979.2112,4754
