URL,TIME,SIZE
segment_720p_1.m4s,1638760483959.193,865133
segment_720p_2.m4s,1638760487649.9412,582615
segment_720p_3.m4s,1638760490198.4734,627761
segment_720p_4.m4s,1638760492929.1477,858125
segment_720p_5.m4s,1638760496587.66,730440
segment_720p_6.m4s,1638760499737.7795,948773
segment_720p_7.m4s,1638760503761.0808,893352
segment_720p_8.m4s,1638760507559.999,1045994
segment_720p_9.m4s,1638760511973.5457,861077
segment_720p_10.m4s,1638760515653.2478,1276221
segment_720p_11.m4s,1638760520984.3855,1369942
segment_720p_12.m4s,1638760526704.3228,1323429
segment_360p_13.m4s,1638760532448.94,308431
segment_360p_14.m4s,1638760533898.2102,327211
segment_360p_15.m4s,1638760535423.0273,286016
segment_360p_16.m4s,1638760536776.5498,239042
segment_360p_17.m4s,1638760540454.7266,332390
segment_360p_18.m4s,1638760544505.7915,233176
segment_360p_19.m4s,1638760548154.409,220516
segment_360p_20.m4s,1638760552254.0256,247159
segment_1080p_18.m4s,1638760556671.0034,954250
segment_1080p_19.m4s,1638760560714.7366,1025152
segment_720p_20.m4s,1638760565263.334,1004773
segment_144p_21.m4s,1638760569726.575,33183
segment_144p_22.m4s,1638760570078.1543,39140
segment_144p_23.m4s,1638760570447.1997,32535
segment_360p_22.m4s,1638760571004.025,297881
segment_360p_23.m4s,1638760572408.6636,225188
segment_360p_24.m4s,1638760573519.9133,342751
segment_360p_25.m4s,1638760575110.1628,273559
segment_360p_26.m4s,1638760576425.194,324346
segment_720p_24.m4s,1638760579157.8237,1189016
segment_720p_25.m4s,1638760584135.8179,1112155
segment_720p_26.m4s,1638760588820.7668,1176281
segment_144p_27.m4s,1638760593978.004,42066
segment_144p_28.m4s,1638760594363.148,44600
segment_144p_29.m4s,1638760594751.7083,38053
segment_360p_28.m4s,1638760595332.9988,299859
segment_360p_29.m4s,1638760596745.0063,295688
segment_360p_30.m4s,1638760598150.6023,344337
segment_360p_31.m4s,1638760599744.2153,290096
segment_360p_32.m4s,1638760601118.5637,336122
segment_720p_30.m4s,1638760602893.3662,1309569
segment_720p_31.m4s,1638760608366.2332,1090881
segment_720p_32.m4s,1638760612957.2625,1294316
segment_144p_33.m4s,1638760618583.7932,39026
segment_360p_33.m4s,1638760619165.4158,297474
segment_360p_34.m4s,1638760620569.9988,334339
segment_360p_35.m4s,1638760622118.3904,290883
segment_360p_36.m4s,1638760623494.04,198909
segment_360p_37.m4s,1638760624504.8293,146360
segment_360p_38.m4s,1638760626803.3386,119079
segment_360p_39.m4s,1638760630493.892,151317
segment_1080p_37.m4s,1638760635028.484,549385
segment_1080p_38.m4s,1638760637446.989,556124
segment_1080p_39.m4s,1638760639885.112,615803
segment_1080p_40.m4s,1638760642570.1992,461556
segment_720p_40.m4s,1638760644846.7366,542005
segment_720p_41.m4s,1638760647236.179,330937
segment_720p_42.m4s,1638760648777.9712,732153
segment_720p_43.m4s,1638760651934.304,830809
segment_720p_44.m4s,1638760655482.624,713137
segment_720p_45.m4s,1638760658557.9045,577988
segment_720p_46.m4s,1638760661089.5083,564599
segment_720p_47.m4s,1638760663568.598,850044
segment_720p_48.m4s,1638760667192.2585,648040
segment_720p_49.m4s,1638760670509.3894,1014447
segment_720p_50.m4s,1638760674797.4248,760289
segment_720p_51.m4s,1638760678558.7324,584833
segment_720p_52.m4s,1638760682619.4946,631876
segment_720p_53.m4s,1638760686870.3608,775171
segment_720p_54.m4s,1638760690700.7273,453628
segment_720p_55.m4s,1638760694734.6282,494355
segment_720p_56.m4s,1638760698429.639,585926
segment_720p_57.m4s,1638760702493.698,501052
segment_720p_58.m4s,1638760706716.4712,446279
segment_720p_59.m4s,1638760710720.4268,176661
