URL,TIME,SIZE
segment_1080p_1.m4s,1638761560863.6187,1250617
segment_360p_1.m4s,1638761571320.0142,202182
segment_360p_2.m4s,1638761573151.339,181391
segment_360p_3.m4s,1638761574804.6255,190757
segment_360p_4.m4s,1638761576547.6328,225696
segment_360p_5.m4s,1638761578566.8257,173657
segment_360p_6.m4s,1638761580169.7449,291902
segment_360p_7.m4s,1638761583723.3337,253476
segment_360p_8.m4s,1638761587470.0056,313572
segment_360p_9.m4s,1638761591704.5427,257385
segment_360p_10.m4s,1638761595478.2363,331614
segment_360p_11.m4s,1638761599855.9465,309272
segment_360p_12.m4s,1638761603554.5044,320189
segment_360p_13.m4s,1638761607838.989,308431
segment_360p_14.m4s,1638761611523.7332,327211
segment_360p_15.m4s,1638761615369.1575,286016
segment_360p_16.m4s,1638761619378.7578,239042
segment_360p_17.m4s,1638761623517.1853,332390
segment_360p_18.m4s,1638761627389.5698,233176
segment_360p_19.m4s,1638761631472.5872,220516
segment_360p_20.m4s,1638761635454.232,247159
segment_360p_21.m4s,1638761639641.182,256705
segment_360p_22.m4s,1638761643413.3113,297881
segment_360p_23.m4s,1638761647508.1826,225188
segment_360p_24.m4s,1638761651533.2324,342751
segment_360p_25.m4s,1638761655494.5508,273559
segment_360p_26.m4s,1638761659400.331,324346
segment_360p_27.m4s,1638761663720.0706,299669
segment_360p_28.m4s,1638761667836.1125,299859
segment_360p_29.m4s,1638761671453.649,295688
segment_360p_30.m4s,1638761675538.5408,344337
segment_360p_31.m4s,1638761679513.8738,290096
segment_360p_32.m4s,1638761683560.4236,336122
segment_360p_33.m4s,1638761687473.4434,297474
segment_360p_34.m4s,1638761691575.756,334339
segment_360p_35.m4s,1638761695466.9148,290883
segment_360p_36.m4s,1638761699500.4573,198909
segment_360p_37.m4s,1638761703801.1938,146360
segment_360p_38.m4s,1638761707689.6628,119079
segment_360p_39.m4s,1638761711860.7244,151317
segment_360p_40.m4s,1638761715777.4922,117435
segment_360p_41.m4s,1638761719437.5288,71734
segment_360p_42.m4s,1638761723724.623,234119
segment_360p_43.m4s,1638761727817.462,235956
segment_360p_44.m4s,1638761731423.2622,207272
segment_360p_45.m4s,1638761735804.7024,158692
segment_360p_46.m4s,1638761739789.9946,164905
segment_360p_47.m4s,1638761743817.0132,201307
segment_360p_48.m4s,1638761747640.6504,193470
segment_360p_49.m4s,1638761751407.9539,238089
segment_360p_50.m4s,1638761755525.6555,221497
segment_360p_51.m4s,1638761759509.7537,168431
segment_360p_52.m4s,1638761763570.5042,176496
segment_360p_53.m4s,1638761767700.3936,198698
segment_360p_54.m4s,1638761771504.5261,124082
segment_360p_55.m4s,1638761775711.1997,124408
segment_360p_56.m4s,1638761779412.2375,142987
segment_360p_57.m4s,1638761783777.9517,107643
segment_360p_58.m4s,1638761787845.9932,104950
segment_360p_59.m4s,1638761791411.4668,32337
