URL,TIME,SIZE
segment_360p_1.m4s,1638772546459.288,202182
segment_1080p_1.m4s,1638772547295.1753,1250617
segment_1080p_2.m4s,1638772550030.592,771426
segment_1080p_3.m4s,1638772551825.96,853304
segment_1080p_4.m4s,1638772553757.9126,1300906
segment_1080p_5.m4s,1638772556598.7148,868728
segment_1080p_6.m4s,1638772558564.155,1203283
segment_1080p_7.m4s,1638772561207.8948,1229601
segment_1080p_8.m4s,1638772563904.333,1312165
segment_1080p_9.m4s,1638772566775.8218,845341
segment_1080p_10.m4s,1638772568699.115,1696983
segment_1080p_11.m4s,1638772572339.7976,1775107
segment_1080p_12.m4s,1638772576130.5232,1806885
segment_1080p_13.m4s,1638772579987.1226,1315077
segment_1080p_14.m4s,1638772582850.557,1175323
segment_1080p_15.m4s,1638772585444.3367,701399
segment_1080p_16.m4s,1638772587080.4243,863912
segment_1080p_17.m4s,1638772589030.824,1515895
segment_1080p_18.m4s,1638772592300.1604,954250
segment_1080p_19.m4s,1638772594439.434,1025152
segment_1080p_20.m4s,1638772596717.5225,1284533
segment_1080p_21.m4s,1638772599521.623,1223011
segment_1080p_22.m4s,1638772602712.6392,1221959
segment_1080p_23.m4s,1638772606889.593,1059117
segment_1080p_24.m4s,1638772610739.9834,1578519
segment_1080p_25.m4s,1638772614642.448,1512766
segment_1080p_26.m4s,1638772618906.9004,1612210
segment_1080p_27.m4s,1638772622878.835,1496282
segment_1080p_28.m4s,1638772626610.5962,1387583
segment_1080p_29.m4s,1638772630622.6511,1284418
segment_1080p_30.m4s,1638772634922.1572,1810721
segment_1080p_31.m4s,1638772638790.5076,1505822
segment_1080p_32.m4s,1638772643040.2456,1747859
segment_1080p_33.m4s,1638772646777.0342,1323883
segment_1080p_34.m4s,1638772650659.827,1514350
segment_1080p_35.m4s,1638772654927.742,1316944
segment_1080p_36.m4s,1638772658816.9497,894201
segment_1080p_37.m4s,1638772662833.9658,549385
segment_1080p_38.m4s,1638772666658.5425,556124
segment_1080p_39.m4s,1638772670994.031,615803
segment_1080p_40.m4s,1638772674953.1782,461556
segment_1080p_41.m4s,1638772679095.6934,216305
segment_1080p_42.m4s,1638772682747.587,998512
segment_1080p_43.m4s,1638772686971.9873,1276029
segment_1080p_44.m4s,1638772690757.7502,970672
segment_1080p_45.m4s,1638772694932.7585,865361
segment_1080p_46.m4s,1638772698887.4524,785931
segment_1080p_47.m4s,1638772702682.0217,1436136
segment_1080p_48.m4s,1638772706795.5718,905360
segment_1080p_49.m4s,1638772710835.2102,1667343
segment_1080p_50.m4s,1638772714908.9265,1137669
segment_1080p_51.m4s,1638772718911.0488,811591
segment_1080p_52.m4s,1638772722763.007,942703
segment_1080p_53.m4s,1638772726878.522,753832
segment_1080p_54.m4s,1638772730608.934,334564
segment_1080p_55.m4s,1638772734997.1501,311011
segment_1080p_56.m4s,1638772738839.7966,364151
segment_1080p_57.m4s,1638772742787.6619,268208
segment_1080p_58.m4s,1638772747047.4077,300106
segment_1080p_59.m4s,1638772750863.2207,127338
