URL,TIME,SIZE
segment_360p_1.m4s,1638773900147.764,202182
segment_1080p_1.m4s,1638773900985.5244,1250617
segment_1080p_2.m4s,1638773903720.3525,771426
segment_1080p_3.m4s,1638773905490.0542,853304
segment_1080p_4.m4s,1638773907424.667,1300906
segment_1080p_5.m4s,1638773910262.5823,868728
segment_1080p_6.m4s,1638773912231.9963,1203283
segment_1080p_7.m4s,1638773914874.9478,1229601
segment_1080p_8.m4s,1638773917573.8674,1312165
segment_1080p_9.m4s,1638773920439.1147,845341
segment_1080p_10.m4s,1638773922357.4214,1696983
segment_1080p_11.m4s,1638773925996.0425,1775107
segment_1080p_12.m4s,1638773929787.7063,1806885
segment_1080p_13.m4s,1638773933648.1384,1315077
segment_1080p_14.m4s,1638773936510.4807,1175323
segment_1080p_15.m4s,1638773939090.477,701399
segment_1080p_16.m4s,1638773940712.1038,863912
segment_1080p_17.m4s,1638773942662.2712,1515895
segment_1080p_18.m4s,1638773945930.6106,954250
segment_1080p_19.m4s,1638773948073.3196,1025152
segment_1080p_20.m4s,1638773950349.5654,1284533
segment_1080p_21.m4s,1638773953153.654,1223011
segment_1080p_22.m4s,1638773956345.1162,1221959
segment_1080p_23.m4s,1638773960522.3118,1059117
segment_1080p_24.m4s,1638773964371.4478,1578519
segment_1080p_25.m4s,1638773968267.117,1512766
segment_1080p_26.m4s,1638773972534.7703,1612210
segment_1080p_27.m4s,1638773976497.9592,1496282
segment_1080p_28.m4s,1638773980230.502,1387583
segment_1080p_29.m4s,1638773984242.8098,1284418
segment_1080p_30.m4s,1638773988554.7854,1810721
segment_1080p_31.m4s,1638773992423.0493,1505822
segment_1080p_32.m4s,1638773996674.5564,1747859
segment_1080p_33.m4s,1638774000404.9097,1323883
segment_1080p_34.m4s,1638774004286.4656,1514350
segment_1080p_35.m4s,1638774008551.398,1316944
segment_1080p_36.m4s,1638774012423.8438,894201
segment_1080p_37.m4s,1638774016442.3113,549385
segment_1080p_38.m4s,1638774020261.476,556124
segment_1080p_39.m4s,1638774024593.3787,615803
segment_1080p_40.m4s,1638774028542.9841,461556
segment_1080p_41.m4s,1638774032681.7942,216305
segment_1080p_42.m4s,1638774036332.4905,998512
segment_1080p_43.m4s,1638774040555.2651,1276029
segment_1080p_44.m4s,1638774044335.5051,970672
segment_1080p_45.m4s,1638774048510.111,865361
segment_1080p_46.m4s,1638774052469.3018,785931
segment_1080p_47.m4s,1638774056264.0022,1436136
segment_1080p_48.m4s,1638774060404.8196,905360
segment_1080p_49.m4s,1638774064448.1475,1667343
segment_1080p_50.m4s,1638774068527.2158,1137669
segment_1080p_51.m4s,1638774072536.6882,811591
segment_1080p_52.m4s,1638774076386.3733,942703
segment_1080p_53.m4s,1638774080499.1003,753832
segment_1080p_54.m4s,1638774084231.2834,334564
segment_1080p_55.m4s,1638774088619.1099,311011
segment_1080p_56.m4s,1638774092460.3665,364151
segment_1080p_57.m4s,1638774096404.4658,268208
segment_1080p_58.m4s,1638774100154.3828,300106
segment_1080p_59.m4s,1638774104471.231,127338
