URL,TIME,SIZE
segment_360p_1.m4s,1638763090318.6516,202182
segment_144p_2.m4s,1638763094004.4912,24116
segment_144p_3.m4s,1638763094604.8577,28590
segment_144p_4.m4s,1638763095282.609,30825
segment_144p_5.m4s,1638763097976.6013,26665
segment_144p_6.m4s,1638763100622.3652,42178
segment_144p_7.m4s,1638763105024.4443,34303
segment_144p_8.m4s,1638763108771.9802,38992
segment_144p_9.m4s,1638763112636.0684,30813
segment_144p_10.m4s,1638763116852.937,40806
segment_144p_11.m4s,1638763120722.0325,41898
segment_144p_12.m4s,1638763124586.208,41116
segment_144p_13.m4s,1638763128951.311,38134
segment_144p_14.m4s,1638763132769.6882,40855
segment_144p_15.m4s,1638763136633.4639,29785
segment_144p_16.m4s,1638763140810.1638,30400
segment_144p_17.m4s,1638763145009.3484,45643
segment_144p_18.m4s,1638763148947.3462,29150
segment_144p_19.m4s,1638763152617.6238,25449
segment_144p_20.m4s,1638763156742.1455,32505
segment_144p_21.m4s,1638763160964.62,33183
segment_144p_22.m4s,1638763164715.6113,39140
segment_144p_23.m4s,1638763169055.435,32535
segment_144p_24.m4s,1638763172779.0164,47375
segment_144p_25.m4s,1638763176740.0344,33443
segment_144p_26.m4s,1638763181005.8398,39101
segment_144p_27.m4s,1638763184852.9844,42066
segment_144p_28.m4s,1638763188765.021,44600
segment_144p_29.m4s,1638763192703.4954,38053
segment_144p_30.m4s,1638763197041.807,48282
segment_144p_31.m4s,1638763201025.0754,41977
segment_144p_32.m4s,1638763204916.529,46974
segment_144p_33.m4s,1638763208898.62,39026
segment_144p_34.m4s,1638763212738.2983,45199
segment_144p_35.m4s,1638763216676.5679,39208
segment_144p_36.m4s,1638763221016.368,25025
segment_144p_37.m4s,1638763224617.2822,14230
segment_144p_38.m4s,1638763229049.9763,15887
segment_144p_39.m4s,1638763233013.0532,20089
segment_144p_40.m4s,1638763237044.7153,15324
segment_144p_41.m4s,1638763241007.94,6363
segment_144p_42.m4s,1638763244820.2249,29452
segment_144p_43.m4s,1638763248996.3667,38891
segment_144p_44.m4s,1638763252817.0522,28941
segment_144p_45.m4s,1638763256990.4365,23020
segment_144p_46.m4s,1638763261071.2637,23484
segment_144p_47.m4s,1638763264649.3157,29612
segment_144p_48.m4s,1638763268821.0195,27143
segment_144p_49.m4s,1638763272976.293,31989
segment_144p_50.m4s,1638763276696.412,32126
segment_144p_51.m4s,1638763280918.8652,23709
segment_144p_52.m4s,1638763284998.937,25787
segment_144p_53.m4s,1638763288626.1543,24110
segment_144p_54.m4s,1638763292729.2798,9879
segment_144p_55.m4s,1638763296590.9634,10148
segment_144p_56.m4s,1638763300953.6091,12176
segment_144p_57.m4s,1638763304869.2163,7970
segment_144p_58.m4s,1638763308711.8154,8048
segment_144p_59.m4s,1638763313049.1353,4754
