ID,URL,TIME,SIZE
NaN,/segment_1080p_.mp4,1638742164363,960
1,/segment_1080p_1.m4s,1638742164531,1250617
NaN,/segment_360p_.mp4,1638742169849,903
1,/segment_360p_1.m4s,1638742170025,202182
NaN,/segment_720p_.mp4,1638742171038,962
1,/segment_720p_1.m4s,1638742171299,865133
NaN,/segment_360p_.mp4,1638742174969,903
2,/segment_360p_2.m4s,1638742175174,181391
NaN,/segment_720p_.mp4,1638742176212,962
2,/segment_720p_2.m4s,1638742176360,582615
NaN,/segment_360p_.mp4,1638742179061,903
3,/segment_360p_3.m4s,1638742179106,190757
4,/segment_360p_4.m4s,1638742180197,225696
5,/segment_360p_5.m4s,1638742181258,173657
6,/segment_360p_6.m4s,1638742182262,291902
7,/segment_360p_7.m4s,1638742184602,253476
8,/segment_360p_8.m4s,1638742188593,313572
9,/segment_360p_9.m4s,1638742192487,257385
10,/segment_360p_10.m4s,1638742196490,331614
NaN,/segment_720p_.mp4,1638742200466,962
8,/segment_720p_8.m4s,1638742200659,1045994
9,/segment_720p_9.m4s,1638742205088,861077
10,/segment_720p_10.m4s,1638742208756,1276221
NaN,/segment_360p_.mp4,1638742214332,903
11,/segment_360p_11.m4s,1638742214488,309272
12,/segment_360p_12.m4s,1638742216203,320189
13,/segment_360p_13.m4s,1638742218176,308431
14,/segment_360p_14.m4s,1638742219560,327211
15,/segment_360p_15.m4s,1638742221147,286016
16,/segment_360p_16.m4s,1638742223504,239042
17,/segment_360p_17.m4s,1638742227291,332390
18,/segment_360p_18.m4s,1638742231290,233176
NaN,/segment_720p_.mp4,1638742235498,962
16,/segment_720p_16.m4s,1638742235681,794478
17,/segment_720p_17.m4s,1638742239183,1225736
18,/segment_720p_18.m4s,1638742244288,770666
NaN,/segment_360p_.mp4,1638742247662,903
19,/segment_360p_19.m4s,1638742247848,220516
20,/segment_360p_20.m4s,1638742249028,247159
21,/segment_360p_21.m4s,1638742250101,256705
22,/segment_360p_22.m4s,1638742251376,297881
23,/segment_360p_23.m4s,1638742252754,225188
24,/segment_360p_24.m4s,1638742255963,342751
25,/segment_360p_25.m4s,1638742260145,273559
26,/segment_360p_26.m4s,1638742264092,324346
NaN,/segment_720p_.mp4,1638742268251,962
24,/segment_720p_24.m4s,1638742268286,1189016
25,/segment_720p_25.m4s,1638742273472,1112155
26,/segment_720p_26.m4s,1638742277983,1176281
NaN,/segment_360p_.mp4,1638742282996,903
27,/segment_360p_27.m4s,1638742283108,299669
28,/segment_360p_28.m4s,1638742284644,299859
29,/segment_360p_29.m4s,1638742285981,295688
30,/segment_360p_30.m4s,1638742287403,344337
31,/segment_360p_31.m4s,1638742289146,290096
32,/segment_360p_32.m4s,1638742290899,336122
33,/segment_360p_33.m4s,1638742295035,297474
34,/segment_360p_34.m4s,1638742298974,334339
NaN,/segment_720p_.mp4,1638742303186,962
32,/segment_720p_32.m4s,1638742303414,1294316
33,/segment_720p_33.m4s,1638742308709,958371
34,/segment_720p_34.m4s,1638742312900,1154014
NaN,/segment_360p_.mp4,1638742317607,903
35,/segment_360p_35.m4s,1638742317800,290883
36,/segment_360p_36.m4s,1638742319244,198909
37,/segment_360p_37.m4s,1638742320370,146360
38,/segment_360p_38.m4s,1638742321300,119079
39,/segment_360p_39.m4s,1638742322424,151317
40,/segment_360p_40.m4s,1638742326925,117435
41,/segment_360p_41.m4s,1638742330718,71734
42,/segment_360p_42.m4s,1638742334631,234119
NaN,/segment_1080p_.mp4,1638742338804,960
40,/segment_1080p_40.m4s,1638742339067,461556
41,/segment_1080p_41.m4s,1638742341260,216305
42,/segment_1080p_42.m4s,1638742342299,998512
43,/segment_1080p_43.m4s,1638742346498,1276029
NaN,/segment_720p_.mp4,1638742351812,962
44,/segment_720p_44.m4s,1638742352043,713137
45,/segment_720p_45.m4s,1638742355084,577988
46,/segment_720p_46.m4s,1638742357649,564599
47,/segment_720p_47.m4s,1638742360205,850044
48,/segment_720p_48.m4s,1638742363788,648040
49,/segment_720p_49.m4s,1638742366758,1014447
50,/segment_720p_50.m4s,1638742370958,760289
51,/segment_720p_51.m4s,1638742374237,584833
52,/segment_720p_52.m4s,1638742376808,631876
53,/segment_720p_53.m4s,1638742379557,775171
54,/segment_720p_54.m4s,1638742383347,453628
55,/segment_720p_55.m4s,1638742387442,494355
56,/segment_720p_56.m4s,1638742391129,585926
57,/segment_720p_57.m4s,1638742395167,501052
58,/segment_720p_58.m4s,1638742399030,446279
59,/segment_720p_59.m4s,1638742403110,176661
