ID,URL,TIME,SIZE
NaN,/segment_360p_.mp4,1638701804110,903
1,/segment_360p_1.m4s,1638701804161,202182
NaN,/segment_1080p_.mp4,1638701804757,960
2,/segment_1080p_2.m4s,1638701804813,771426
2,/segment_360p_2.m4s,1638701806935,181391
3,/segment_360p_3.m4s,1638701807474,190757
NaN,/segment_144p_.mp4,1638701808046,953
4,/segment_144p_4.m4s,1638701808103,30825
4,/segment_144p_4.m4s,1638701808245,30825
5,/segment_144p_5.m4s,1638701808385,26665
6,/segment_144p_6.m4s,1638701808510,42178
7,/segment_144p_7.m4s,1638701808682,34303
8,/segment_144p_8.m4s,1638701808830,38992
9,/segment_144p_9.m4s,1638701808994,30813
10,/segment_144p_10.m4s,1638701809132,40806
11,/segment_144p_11.m4s,1638701809301,41898
12,/segment_144p_12.m4s,1638701809470,41116
13,/segment_144p_13.m4s,1638701809642,38134
14,/segment_144p_14.m4s,1638701809800,40855
15,/segment_144p_15.m4s,1638701809970,29785
16,/segment_144p_16.m4s,1638701810109,30400
17,/segment_144p_17.m4s,1638701810250,45643
18,/segment_144p_18.m4s,1638701810433,29150
19,/segment_144p_19.m4s,1638701810566,25449
20,/segment_144p_20.m4s,1638701810686,32505
21,/segment_144p_21.m4s,1638701810829,33183
22,/segment_144p_22.m4s,1638701810975,39140
23,/segment_144p_23.m4s,1638701811141,32535
24,/segment_144p_24.m4s,1638701811281,47375
25,/segment_144p_25.m4s,1638701811465,33443
26,/segment_144p_26.m4s,1638701811612,39101
27,/segment_144p_27.m4s,1638701811773,42066
28,/segment_144p_28.m4s,1638701811945,44600
29,/segment_144p_29.m4s,1638701812121,38053
30,/segment_144p_30.m4s,1638701812281,48282
31,/segment_144p_31.m4s,1638701812470,41977
32,/segment_144p_32.m4s,1638701812641,46974
33,/segment_144p_33.m4s,1638701812821,39026
34,/segment_144p_34.m4s,1638701812982,45199
35,/segment_144p_35.m4s,1638701813161,39208
36,/segment_144p_36.m4s,1638701813325,25025
37,/segment_144p_37.m4s,1638701813448,14230
38,/segment_144p_38.m4s,1638701813542,15887
39,/segment_144p_39.m4s,1638701813643,20089
40,/segment_144p_40.m4s,1638701813753,15324
41,/segment_144p_41.m4s,1638701813852,6363
42,/segment_144p_42.m4s,1638701813927,29452
43,/segment_144p_43.m4s,1638701814061,38891
44,/segment_144p_44.m4s,1638701814222,28941
45,/segment_144p_45.m4s,1638701814359,23020
46,/segment_144p_46.m4s,1638701814478,23484
47,/segment_144p_47.m4s,1638701814593,29612
48,/segment_144p_48.m4s,1638701814728,27143
49,/segment_144p_49.m4s,1638701814860,31989
50,/segment_144p_50.m4s,1638701815005,32126
51,/segment_144p_51.m4s,1638701815145,23709
52,/segment_144p_52.m4s,1638701815264,25787
53,/segment_144p_53.m4s,1638701815390,24110
54,/segment_144p_54.m4s,1638701815510,9879
55,/segment_144p_55.m4s,1638701815594,10148
56,/segment_144p_56.m4s,1638701815673,12176
57,/segment_144p_57.m4s,1638701815761,7970
58,/segment_144p_58.m4s,1638701815838,8048
59,/segment_144p_59.m4s,1638701815917,4754
34,/segment_144p_34.m4s,1638701863560,45199
35,/segment_144p_35.m4s,1638701863739,39208
36,/segment_360p_36.m4s,1638701863906,198909
36,/segment_360p_36.m4s,1638701864494,198909
37,/segment_360p_37.m4s,1638701865084,146360
NaN,/segment_720p_.mp4,1638701865530,962
38,/segment_720p_38.m4s,1638701865588,486962
38,/segment_360p_38.m4s,1638701866947,119079
39,/segment_360p_39.m4s,1638701867324,151317
40,/segment_360p_40.m4s,1638701867782,117435
41,/segment_360p_41.m4s,1638701868155,71734
42,/segment_360p_42.m4s,1638701868403,234119
43,/segment_144p_43.m4s,1638701869092,38891
43,/segment_144p_43.m4s,1638701869253,38891
44,/segment_144p_44.m4s,1638701869416,28941
45,/segment_144p_45.m4s,1638701869555,23020
46,/segment_144p_46.m4s,1638701869672,23484
47,/segment_144p_47.m4s,1638701869788,29612
48,/segment_144p_48.m4s,1638701869923,27143
49,/segment_144p_49.m4s,1638701870054,31989
50,/segment_144p_50.m4s,1638701870200,32126
51,/segment_144p_51.m4s,1638701870343,23709
52,/segment_144p_52.m4s,1638701870462,25787
53,/segment_144p_53.m4s,1638701870590,24110
54,/segment_144p_54.m4s,1638701870712,9879
55,/segment_144p_55.m4s,1638701870794,10148
56,/segment_144p_56.m4s,1638701870879,12176
57,/segment_144p_57.m4s,1638701870972,7970
58,/segment_144p_58.m4s,1638701871050,8048
59,/segment_144p_59.m4s,1638701871130,4754
NaN,/segment_1080p_.mp4,1638701902296,960
1,/segment_1080p_1.m4s,1638701902357,1250617
2,/segment_1080p_2.m4s,1638701905753,771426
3,/segment_1080p_3.m4s,1638701907873,853304
4,/segment_1080p_4.m4s,1638701910211,1300906
5,/segment_1080p_5.m4s,1638701913742,868728
6,/segment_1080p_6.m4s,1638701916119,1203283
7,/segment_1080p_7.m4s,1638701919393,1229601
8,/segment_1080p_8.m4s,1638701922738,1312165
9,/segment_1080p_9.m4s,1638701926298,845341
10,/segment_1080p_10.m4s,1638701928615,1696983
11,/segment_1080p_11.m4s,1638701933208,1775107
NaN,/segment_720p_.mp4,1638701938004,962
12,/segment_720p_12.m4s,1638701938063,1323429
NaN,/segment_360p_.mp4,1638701941654,903
12,/segment_360p_12.m4s,1638701941710,320189
13,/segment_720p_13.m4s,1638701942625,974263
13,/segment_720p_13.m4s,1638701945286,974263
14,/segment_360p_14.m4s,1638701947948,327211
NaN,/segment_144p_.mp4,1638701948884,953
14,/segment_144p_14.m4s,1638701948942,40855
15,/segment_144p_15.m4s,1638701949111,29785
16,/segment_144p_16.m4s,1638701949252,30400
17,/segment_144p_17.m4s,1638701949395,45643
18,/segment_144p_18.m4s,1638701949579,29150
19,/segment_144p_19.m4s,1638701949718,25449
20,/segment_144p_20.m4s,1638701949843,32505
21,/segment_144p_21.m4s,1638701949991,33183
22,/segment_144p_22.m4s,1638701950143,39140
23,/segment_144p_23.m4s,1638701950311,32535
24,/segment_144p_24.m4s,1638701950459,47375
25,/segment_144p_25.m4s,1638701950648,33443
26,/segment_144p_26.m4s,1638701950799,39101
27,/segment_144p_27.m4s,1638701950968,42066
28,/segment_144p_28.m4s,1638701951144,44600
29,/segment_144p_29.m4s,1638701951323,38053
30,/segment_144p_30.m4s,1638701951487,48282
31,/segment_144p_31.m4s,1638701951679,41977
32,/segment_144p_32.m4s,1638701951851,46974
33,/segment_144p_33.m4s,1638701952039,39026
34,/segment_144p_34.m4s,1638701952207,45199
13,/segment_360p_13.m4s,1638701952384,308431
14,/segment_720p_14.m4s,1638701953269,970955
15,/segment_360p_15.m4s,1638701955924,286016
32,/segment_360p_32.m4s,1638701956747,336122
33,/segment_360p_33.m4s,1638701957703,297474
34,/segment_360p_34.m4s,1638701958555,334339
35,/segment_360p_35.m4s,1638701959503,290883
36,/segment_360p_36.m4s,1638701960337,198909
37,/segment_360p_37.m4s,1638701960924,146360
38,/segment_360p_38.m4s,1638701961371,119079
39,/segment_144p_39.m4s,1638701961752,20089
39,/segment_144p_39.m4s,1638701961865,20089
40,/segment_144p_40.m4s,1638701961978,15324
41,/segment_144p_41.m4s,1638701962077,6363
42,/segment_144p_42.m4s,1638701962150,29452
43,/segment_144p_43.m4s,1638701962287,38891
44,/segment_144p_44.m4s,1638701962451,28941
45,/segment_144p_45.m4s,1638701962590,23020
46,/segment_144p_46.m4s,1638701962710,23484
47,/segment_144p_47.m4s,1638701962834,29612
48,/segment_144p_48.m4s,1638701962975,27143
49,/segment_144p_49.m4s,1638701963110,31989
50,/segment_144p_50.m4s,1638701963254,32126
51,/segment_144p_51.m4s,1638701963396,23709
52,/segment_144p_52.m4s,1638701963517,25787
53,/segment_144p_53.m4s,1638701963647,24110
54,/segment_144p_54.m4s,1638701963775,9879
55,/segment_144p_55.m4s,1638701963860,10148
56,/segment_144p_56.m4s,1638701963942,12176
57,/segment_144p_57.m4s,1638701964038,7970
58,/segment_144p_58.m4s,1638701964116,8048
59,/segment_144p_59.m4s,1638701964194,4754
NaN,/segment_1080p_.mp4,1638702005446,960
1,/segment_1080p_1.m4s,1638702005506,1250617
2,/segment_1080p_2.m4s,1638702008902,771426
3,/segment_1080p_3.m4s,1638702011023,853304
4,/segment_1080p_4.m4s,1638702013361,1300906
5,/segment_1080p_5.m4s,1638702016894,868728
6,/segment_1080p_6.m4s,1638702019274,1203283
7,/segment_1080p_7.m4s,1638702022544,1229601
8,/segment_1080p_8.m4s,1638702025887,1312165
9,/segment_1080p_9.m4s,1638702029447,845341
10,/segment_1080p_10.m4s,1638702031764,1696983
11,/segment_1080p_11.m4s,1638702036354,1775107
NaN,/segment_720p_.mp4,1638702041150,962
12,/segment_720p_12.m4s,1638702041213,1323429
NaN,/segment_360p_.mp4,1638702044807,903
12,/segment_360p_12.m4s,1638702044864,320189
13,/segment_720p_13.m4s,1638702045779,974263
13,/segment_720p_13.m4s,1638702048440,974263
14,/segment_360p_14.m4s,1638702051104,327211
NaN,/segment_144p_.mp4,1638702052037,953
14,/segment_144p_14.m4s,1638702052091,40855
15,/segment_144p_15.m4s,1638702052259,29785
