ID,URL,TIME,SIZE
31,/segment_144p_31.m4s,1638696583920,41977
32,/segment_144p_32.m4s,1638696584329,46974
33,/segment_144p_33.m4s,1638696584747,39026
34,/segment_144p_34.m4s,1638696585148,45199
35,/segment_144p_35.m4s,1638696585560,39208
36,/segment_144p_36.m4s,1638696585974,25025
37,/segment_144p_37.m4s,1638696586201,14230
38,/segment_144p_38.m4s,1638696586582,15887
39,/segment_144p_39.m4s,1638696586776,20089
40,/segment_144p_40.m4s,1638696587197,15324
41,/segment_144p_41.m4s,1638696587372,6363
42,/segment_144p_42.m4s,1638696587711,29452
43,/segment_144p_43.m4s,1638696588017,38891
44,/segment_144p_44.m4s,1638696588352,28941
45,/segment_144p_45.m4s,1638696588732,23020
46,/segment_144p_46.m4s,1638696589045,23484
47,/segment_144p_47.m4s,1638696589449,29612
48,/segment_144p_48.m4s,1638696589764,27143
49,/segment_144p_49.m4s,1638696590064,31989
50,/segment_144p_50.m4s,1638696590474,32126
51,/segment_144p_51.m4s,1638696590781,23709
52,/segment_144p_52.m4s,1638696591087,25787
53,/segment_144p_53.m4s,1638696591497,24110
54,/segment_144p_54.m4s,1638696591806,9879
55,/segment_144p_55.m4s,1638696591995,10148
56,/segment_144p_56.m4s,1638696592316,12176
NaN,/segment_360p_.mp4,1638696600307,903
1,/segment_360p_1.m4s,1638696600344,202182
NaN,/segment_1080p_.mp4,1638696600446,960
2,/segment_1080p_2.m4s,1638696600471,771426
2,/segment_1080p_2.m4s,1638696600615,771426
3,/segment_1080p_3.m4s,1638696600760,853304
4,/segment_1080p_4.m4s,1638696600921,1300906
5,/segment_1080p_5.m4s,1638696601164,868728
6,/segment_1080p_6.m4s,1638696601333,1203283
7,/segment_1080p_7.m4s,1638696601538,1229601
8,/segment_1080p_8.m4s,1638696601725,1312165
9,/segment_1080p_9.m4s,1638696601932,845341
10,/segment_1080p_10.m4s,1638696602067,1696983
11,/segment_1080p_11.m4s,1638696602340,1775107
12,/segment_1080p_12.m4s,1638696602956,1806885
13,/segment_1080p_13.m4s,1638696603236,1315077
14,/segment_1080p_14.m4s,1638696603429,1175323
15,/segment_1080p_15.m4s,1638696603612,701399
16,/segment_1080p_16.m4s,1638696603722,863912
NaN,/segment_144p_.mp4,1638696604373,953
17,/segment_144p_17.m4s,1638696604391,45643
16,/segment_144p_16.m4s,1638696604412,30400
17,/segment_144p_17.m4s,1638696604442,45643
18,/segment_144p_18.m4s,1638696604460,29150
19,/segment_144p_19.m4s,1638696604479,25449
20,/segment_144p_20.m4s,1638696604501,32505
21,/segment_144p_21.m4s,1638696604523,33183
22,/segment_144p_22.m4s,1638696604540,39140
23,/segment_144p_23.m4s,1638696604569,32535
24,/segment_144p_24.m4s,1638696604589,47375
25,/segment_144p_25.m4s,1638696604616,33443
26,/segment_144p_26.m4s,1638696604637,39101
27,/segment_144p_27.m4s,1638696604657,42066
28,/segment_144p_28.m4s,1638696604678,44600
29,/segment_144p_29.m4s,1638696604701,38053
30,/segment_144p_30.m4s,1638696604725,48282
