ID,URL,TIME,SIZE
31,/segment_144p_31.m4s,1638696641673,41977
32,/segment_144p_32.m4s,1638696642082,46974
33,/segment_144p_33.m4s,1638696642404,39026
34,/segment_144p_34.m4s,1638696642799,45199
35,/segment_144p_35.m4s,1638696643322,39208
36,/segment_144p_36.m4s,1638696643619,25025
37,/segment_144p_37.m4s,1638696643925,14230
38,/segment_144p_38.m4s,1638696644232,15887
39,/segment_144p_39.m4s,1638696644540,20089
40,/segment_144p_40.m4s,1638696644754,15324
41,/segment_144p_41.m4s,1638696645052,6363
42,/segment_144p_42.m4s,1638696645359,29452
43,/segment_144p_43.m4s,1638696645666,38891
44,/segment_144p_44.m4s,1638696646075,28941
45,/segment_144p_45.m4s,1638696646383,23020
46,/segment_144p_46.m4s,1638696646690,23484
47,/segment_144p_47.m4s,1638696646996,29612
48,/segment_144p_48.m4s,1638696647408,27143
49,/segment_144p_49.m4s,1638696647713,31989
50,/segment_144p_50.m4s,1638696648021,32126
51,/segment_144p_51.m4s,1638696648439,23709
52,/segment_144p_52.m4s,1638696648678,25787
53,/segment_144p_53.m4s,1638696649045,24110
54,/segment_144p_54.m4s,1638696649352,9879
55,/segment_144p_55.m4s,1638696649659,10148
56,/segment_144p_56.m4s,1638696649850,12176
57,/segment_144p_57.m4s,1638696650172,7970
58,/segment_144p_58.m4s,1638696650355,8048
59,/segment_144p_59.m4s,1638696650684,4754
NaN,/segment_1080p_.mp4,1638696654382,960
1,/segment_1080p_1.m4s,1638696654677,1250617
NaN,/segment_360p_.mp4,1638696659900,903
2,/segment_360p_2.m4s,1638696660065,181391
2,/segment_360p_2.m4s,1638696661019,181391
3,/segment_360p_3.m4s,1638696662050,190757
NaN,/segment_144p_.mp4,1638696662967,953
4,/segment_144p_4.m4s,1638696663187,30825
4,/segment_144p_4.m4s,1638696663586,30825
5,/segment_144p_5.m4s,1638696663995,26665
6,/segment_144p_6.m4s,1638696664216,42178
7,/segment_144p_7.m4s,1638696664600,34303
8,/segment_144p_8.m4s,1638696665019,38992
9,/segment_144p_9.m4s,1638696665429,30813
10,/segment_144p_10.m4s,1638696665672,40806
11,/segment_144p_11.m4s,1638696666148,41898
12,/segment_144p_12.m4s,1638696666453,41116
13,/segment_144p_13.m4s,1638696666863,38134
14,/segment_144p_14.m4s,1638696667272,40855
15,/segment_144p_15.m4s,1638696667682,29785
16,/segment_144p_16.m4s,1638696667989,30400
17,/segment_144p_17.m4s,1638696668399,45643
18,/segment_144p_18.m4s,1638696668808,29150
19,/segment_144p_19.m4s,1638696669115,25449
20,/segment_144p_20.m4s,1638696669423,32505
21,/segment_144p_21.m4s,1638696669832,33183
22,/segment_144p_22.m4s,1638696670139,39140
23,/segment_144p_23.m4s,1638696670549,32535
24,/segment_144p_24.m4s,1638696670960,47375
25,/segment_144p_25.m4s,1638696671368,33443
26,/segment_144p_26.m4s,1638696671655,39101
27,/segment_144p_27.m4s,1638696672085,42066
28,/segment_144p_28.m4s,1638696672499,44600
29,/segment_144p_29.m4s,1638696672904,38053
30,/segment_144p_30.m4s,1638696673317,48282
