ID,URL,TIME,SIZE
NaN,/segment_360p_.mp4,1638733682134,903
1,/segment_360p_1.m4s,1638733682190,202182
NaN,/segment_1080p_.mp4,1638733682788,960
2,/segment_1080p_2.m4s,1638733682846,771426
2,/segment_360p_2.m4s,1638733684968,181391
3,/segment_360p_3.m4s,1638733685507,190757
4,/segment_360p_4.m4s,1638733686079,225696
5,/segment_360p_5.m4s,1638733686744,173657
6,/segment_360p_6.m4s,1638733687266,291902
7,/segment_360p_7.m4s,1638733688103,253476
8,/segment_360p_8.m4s,1638733688843,313572
9,/segment_360p_9.m4s,1638733689742,257385
10,/segment_360p_10.m4s,1638733690487,331614
11,/segment_360p_11.m4s,1638733691430,309272
12,/segment_360p_12.m4s,1638733692320,320189
13,/segment_360p_13.m4s,1638733693237,308431
14,/segment_360p_14.m4s,1638733694119,327211
15,/segment_360p_15.m4s,1638733695054,286016
16,/segment_360p_16.m4s,1638733695877,239042
17,/segment_360p_17.m4s,1638733696570,332390
18,/segment_360p_18.m4s,1638733697511,233176
19,/segment_360p_19.m4s,1638733698193,220516
20,/segment_360p_20.m4s,1638733698842,247159
21,/segment_360p_21.m4s,1638733699562,256705
22,/segment_360p_22.m4s,1638733700306,297881
23,/segment_360p_23.m4s,1638733701159,225188
NaN,/segment_1080p_.mp4,1638733701743,960
1,/segment_1080p_1.m4s,1638733701803,1250617
2,/segment_1080p_2.m4s,1638733705199,771426
3,/segment_1080p_3.m4s,1638733707321,853304
4,/segment_1080p_4.m4s,1638733709654,1300906
5,/segment_1080p_5.m4s,1638733713192,868728
6,/segment_1080p_6.m4s,1638733715570,1203283
7,/segment_1080p_7.m4s,1638733718845,1229601
8,/segment_1080p_8.m4s,1638733722189,1312165
9,/segment_1080p_9.m4s,1638733725753,845341
10,/segment_1080p_10.m4s,1638733728068,1696983
11,/segment_1080p_11.m4s,1638733732660,1775107
NaN,/segment_720p_.mp4,1638733737455,962
12,/segment_720p_12.m4s,1638733737514,1323429
NaN,/segment_360p_.mp4,1638733741109,903
12,/segment_360p_12.m4s,1638733741165,320189
13,/segment_720p_13.m4s,1638733742080,974263
13,/segment_720p_13.m4s,1638733744742,974263
14,/segment_360p_14.m4s,1638733747403,327211
14,/segment_360p_14.m4s,1638733748338,327211
15,/segment_360p_15.m4s,1638733749275,286016
16,/segment_360p_16.m4s,1638733750097,239042
17,/segment_360p_17.m4s,1638733750794,332390
18,/segment_360p_18.m4s,1638733751741,233176
19,/segment_360p_19.m4s,1638733752421,220516
20,/segment_360p_20.m4s,1638733753071,247159
21,/segment_360p_21.m4s,1638733753790,256705
22,/segment_360p_22.m4s,1638733754534,297881
23,/segment_360p_23.m4s,1638733755391,225188
24,/segment_360p_24.m4s,1638733756055,342751
25,/segment_360p_25.m4s,1638733757028,273559
26,/segment_360p_26.m4s,1638733757814,324346
27,/segment_360p_27.m4s,1638733758743,299669
28,/segment_360p_28.m4s,1638733759602,299859
29,/segment_360p_29.m4s,1638733760463,295688
30,/segment_360p_30.m4s,1638733761314,344337
31,/segment_360p_31.m4s,1638733762291,290096
32,/segment_360p_32.m4s,1638733763126,336122
33,/segment_360p_33.m4s,1638733764082,297474
34,/segment_360p_34.m4s,1638733764934,334339
13,/segment_360p_13.m4s,1638733765876,308431
14,/segment_1080p_14.m4s,1638733766760,1175323
14,/segment_360p_14.m4s,1638733769959,327211
15,/segment_360p_15.m4s,1638733770894,286016
16,/segment_360p_16.m4s,1638733771718,239042
17,/segment_720p_17.m4s,1638733772418,1225736
17,/segment_720p_17.m4s,1638733775754,1225736
NaN,/segment_1080p_.mp4,1638733777688,960
1,/segment_1080p_1.m4s,1638733777746,1250617
2,/segment_1080p_2.m4s,1638733781140,771426
3,/segment_1080p_3.m4s,1638733783260,853304
4,/segment_1080p_4.m4s,1638733785597,1300906
5,/segment_1080p_5.m4s,1638733789130,868728
6,/segment_1080p_6.m4s,1638733791509,1203283
7,/segment_1080p_7.m4s,1638733794781,1229601
8,/segment_1080p_8.m4s,1638733798123,1312165
9,/segment_1080p_9.m4s,1638733801683,845341
10,/segment_1080p_10.m4s,1638733804003,1696983
11,/segment_1080p_11.m4s,1638733808595,1775107
NaN,/segment_720p_.mp4,1638733813390,962
12,/segment_720p_12.m4s,1638733813448,1323429
NaN,/segment_360p_.mp4,1638733817039,903
12,/segment_360p_12.m4s,1638733817096,320189
13,/segment_720p_13.m4s,1638733818011,974263
13,/segment_720p_13.m4s,1638733820672,974263
14,/segment_360p_14.m4s,1638733823333,327211
14,/segment_360p_14.m4s,1638733824266,327211
15,/segment_360p_15.m4s,1638733825198,286016
16,/segment_360p_16.m4s,1638733826022,239042
17,/segment_360p_17.m4s,1638733826721,332390
18,/segment_360p_18.m4s,1638733827661,233176
19,/segment_360p_19.m4s,1638733828340,220516
20,/segment_360p_20.m4s,1638733828989,247159
21,/segment_360p_21.m4s,1638733829705,256705
22,/segment_360p_22.m4s,1638733830449,297881
23,/segment_360p_23.m4s,1638733831302,225188
24,/segment_360p_24.m4s,1638733831964,342751
25,/segment_360p_25.m4s,1638733832933,273559
26,/segment_360p_26.m4s,1638733833718,324346
27,/segment_360p_27.m4s,1638733834646,299669
28,/segment_360p_28.m4s,1638733835506,299859
29,/segment_360p_29.m4s,1638733836364,295688
30,/segment_360p_30.m4s,1638733837213,344337
31,/segment_360p_31.m4s,1638733838187,290096
32,/segment_360p_32.m4s,1638733839021,336122
33,/segment_360p_33.m4s,1638733839972,297474
34,/segment_360p_34.m4s,1638733840822,334339
35,/segment_360p_35.m4s,1638733841771,290883
36,/segment_360p_36.m4s,1638733842601,198909
37,/segment_360p_37.m4s,1638733843184,146360
38,/segment_360p_38.m4s,1638733843631,119079
39,/segment_360p_39.m4s,1638733844010,151317
40,/segment_360p_40.m4s,1638733844474,117435
41,/segment_360p_41.m4s,1638733844845,71734
42,/segment_360p_42.m4s,1638733845094,234119
43,/segment_360p_43.m4s,1638733845781,235956
44,/segment_360p_44.m4s,1638733846474,207272
45,/segment_360p_45.m4s,1638733847088,158692
46,/segment_360p_46.m4s,1638733847568,164905
47,/segment_360p_47.m4s,1638733848064,201307
48,/segment_360p_48.m4s,1638733848658,193470
49,/segment_360p_49.m4s,1638733849233,238089
50,/segment_360p_50.m4s,1638733849926,221497
51,/segment_360p_51.m4s,1638733850573,168431
52,/segment_360p_52.m4s,1638733851089,176496
53,/segment_360p_53.m4s,1638733851617,198698
54,/segment_360p_54.m4s,1638733852203,124082
55,/segment_360p_55.m4s,1638733852593,124408
56,/segment_360p_56.m4s,1638733852981,142987
57,/segment_360p_57.m4s,1638733853425,107643
58,/segment_360p_58.m4s,1638733853769,104950
59,/segment_360p_59.m4s,1638733854105,32337
NaN,/segment_1080p_.mp4,1638734132703,960
1,/segment_1080p_1.m4s,1638734132774,1250617
2,/segment_1080p_2.m4s,1638734136168,771426
3,/segment_1080p_3.m4s,1638734138289,853304
4,/segment_1080p_4.m4s,1638734140627,1300906
5,/segment_1080p_5.m4s,1638734144162,868728
6,/segment_1080p_6.m4s,1638734146544,1203283
7,/segment_1080p_7.m4s,1638734149815,1229601
8,/segment_1080p_8.m4s,1638734153160,1312165
9,/segment_1080p_9.m4s,1638734156723,845341
10,/segment_1080p_10.m4s,1638734159040,1696983
11,/segment_1080p_11.m4s,1638734163630,1775107
NaN,/segment_720p_.mp4,1638734168426,962
12,/segment_720p_12.m4s,1638734168484,1323429
NaN,/segment_360p_.mp4,1638734172074,903
12,/segment_360p_12.m4s,1638734172132,320189
13,/segment_720p_13.m4s,1638734173047,974263
13,/segment_720p_13.m4s,1638734175708,974263
14,/segment_360p_14.m4s,1638734178370,327211
14,/segment_360p_14.m4s,1638734179305,327211
15,/segment_360p_15.m4s,1638734180242,286016
16,/segment_360p_16.m4s,1638734181064,239042
17,/segment_360p_17.m4s,1638734181761,332390
18,/segment_360p_18.m4s,1638734182707,233176
19,/segment_360p_19.m4s,1638734183389,220516
20,/segment_360p_20.m4s,1638734184040,247159
21,/segment_360p_21.m4s,1638734184757,256705
22,/segment_360p_22.m4s,1638734185505,297881
23,/segment_360p_23.m4s,1638734186361,225188
24,/segment_360p_24.m4s,1638734187025,342751
25,/segment_360p_25.m4s,1638734187998,273559
26,/segment_360p_26.m4s,1638734188785,324346
27,/segment_360p_27.m4s,1638734189712,299669
28,/segment_360p_28.m4s,1638734190569,299859
29,/segment_360p_29.m4s,1638734191428,295688
30,/segment_360p_30.m4s,1638734192276,344337
31,/segment_360p_31.m4s,1638734193250,290096
32,/segment_360p_32.m4s,1638734194084,336122
33,/segment_360p_33.m4s,1638734195041,297474
34,/segment_360p_34.m4s,1638734195898,334339
35,/segment_360p_35.m4s,1638734196845,290883
36,/segment_360p_36.m4s,1638734197680,198909
37,/segment_360p_37.m4s,1638734198263,146360
38,/segment_360p_38.m4s,1638734198708,119079
39,/segment_360p_39.m4s,1638734199085,151317
40,/segment_360p_40.m4s,1638734199548,117435
41,/segment_360p_41.m4s,1638734199921,71734
42,/segment_360p_42.m4s,1638734200172,234119
43,/segment_360p_43.m4s,1638734200857,235956
44,/segment_360p_44.m4s,1638734201549,207272
45,/segment_360p_45.m4s,1638734202165,158692
46,/segment_360p_46.m4s,1638734202649,164905
47,/segment_360p_47.m4s,1638734203150,201307
48,/segment_360p_48.m4s,1638734203748,193470
49,/segment_360p_49.m4s,1638734204325,238089
50,/segment_360p_50.m4s,1638734205022,221497
51,/segment_360p_51.m4s,1638734205672,168431
52,/segment_360p_52.m4s,1638734206182,176496
53,/segment_360p_53.m4s,1638734206712,198698
54,/segment_360p_54.m4s,1638734207300,124082
55,/segment_360p_55.m4s,1638734207689,124408
56,/segment_360p_56.m4s,1638734208080,142987
57,/segment_360p_57.m4s,1638734208520,107643
58,/segment_360p_58.m4s,1638734208860,104950
59,/segment_360p_59.m4s,1638734209195,32337
NaN,/segment_1080p_.mp4,1638734462259,960
1,/segment_1080p_1.m4s,1638734462319,1250617
2,/segment_1080p_2.m4s,1638734465717,771426
3,/segment_1080p_3.m4s,1638734467838,853304
4,/segment_1080p_4.m4s,1638734470174,1300906
5,/segment_1080p_5.m4s,1638734473707,868728
6,/segment_1080p_6.m4s,1638734476086,1203283
7,/segment_1080p_7.m4s,1638734479360,1229601
8,/segment_1080p_8.m4s,1638734482704,1312165
9,/segment_1080p_9.m4s,1638734486268,845341
10,/segment_1080p_10.m4s,1638734488588,1696983
11,/segment_1080p_11.m4s,1638734493180,1775107
NaN,/segment_720p_.mp4,1638734497980,962
12,/segment_720p_12.m4s,1638734498043,1323429
NaN,/segment_360p_.mp4,1638734501636,903
12,/segment_360p_12.m4s,1638734501694,320189
13,/segment_720p_13.m4s,1638734502611,974263
13,/segment_720p_13.m4s,1638734505270,974263
14,/segment_360p_14.m4s,1638734507932,327211
