ID,URL,TIME
NaN,/segment_360p_.mp4,1638686096472
1,/segment_360p_1.m4s,1638686096578
2,/segment_360p_2.m4s,1638686098303
3,/segment_360p_3.m4s,1638686099858
4,/segment_360p_4.m4s,1638686156271
NaN,/segment_360p_.mp4,1638686161496
1,/segment_360p_1.m4s,1638686161606
2,/segment_360p_2.m4s,1638686163328
3,/segment_360p_3.m4s,1638686164882
4,/segment_360p_4.m4s,1638686166520
5,/segment_360p_5.m4s,1638686168945
6,/segment_360p_6.m4s,1638686172954
7,/segment_360p_7.m4s,1638686176904
8,/segment_360p_8.m4s,1638686181049
9,/segment_360p_9.m4s,1638686185189
10,/segment_360p_10.m4s,1638686188867
11,/segment_360p_11.m4s,1638686193140
12,/segment_360p_12.m4s,1638686197238
13,/segment_360p_13.m4s,1638686200921
14,/segment_360p_14.m4s,1638686205007
15,/segment_360p_15.m4s,1638686209251
16,/segment_360p_16.m4s,1638686213156
17,/segment_360p_17.m4s,1638686217196
18,/segment_360p_18.m4s,1638686220970
19,/segment_360p_19.m4s,1638686224954
20,/segment_360p_20.m4s,1638686228845
21,/segment_360p_21.m4s,1638686232943
22,/segment_360p_22.m4s,1638686237121
23,/segment_360p_23.m4s,1638686241121
24,/segment_360p_24.m4s,1638686245046
25,/segment_360p_25.m4s,1638686249408
26,/segment_360p_26.m4s,1638686253213
27,/segment_360p_27.m4s,1638686256924
28,/segment_360p_28.m4s,1638686260943
29,/segment_360p_29.m4s,1638686264953
30,/segment_360p_30.m4s,1638686268946
31,/segment_360p_31.m4s,1638686272814
32,/segment_360p_32.m4s,1638686277254
33,/segment_360p_33.m4s,1638686281064
34,/segment_360p_34.m4s,1638686285063
35,/segment_360p_35.m4s,1638686288846
36,/segment_360p_36.m4s,1638686293291
37,/segment_360p_37.m4s,1638686297004
38,/segment_360p_38.m4s,1638686300797
39,/segment_360p_39.m4s,1638686304873
40,/segment_360p_40.m4s,1638686309198
41,/segment_360p_41.m4s,1638686313265
42,/segment_360p_42.m4s,1638686316956
43,/segment_360p_43.m4s,1638686320948
44,/segment_360p_44.m4s,1638686324957
45,/segment_360p_45.m4s,1638686329244
46,/segment_360p_46.m4s,1638686333127
47,/segment_360p_47.m4s,1638686337061
48,/segment_360p_48.m4s,1638686341298
49,/segment_360p_49.m4s,1638686345474
50,/segment_360p_50.m4s,1638686349498
51,/segment_360p_51.m4s,1638686352891
52,/segment_360p_52.m4s,1638686356863
53,/segment_360p_53.m4s,1638686360894
54,/segment_360p_54.m4s,1638686365099
55,/segment_360p_55.m4s,1638686369200
56,/segment_360p_56.m4s,1638686372811
57,/segment_360p_57.m4s,1638686377078
58,/segment_360p_58.m4s,1638686381046
NaN,/segment_720p_.mp4,1638686385000
59,/segment_720p_59.m4s,1638686385121
59,/segment_720p_59.m4s,1638686386645
