ID,URL,TIME,SIZE
NaN,/segment_360p_.mp4,1638743391194,903
1,/segment_360p_1.m4s,1638743391424,202182
2,/segment_360p_2.m4s,1638743393359,181391
3,/segment_360p_3.m4s,1638743395106,190757
4,/segment_360p_4.m4s,1638743396754,225696
5,/segment_360p_5.m4s,1638743398805,173657
6,/segment_360p_6.m4s,1638743401967,291902
7,/segment_360p_7.m4s,1638743405632,253476
8,/segment_360p_8.m4s,1638743409843,313572
9,/segment_360p_9.m4s,1638743413632,257385
10,/segment_360p_10.m4s,1638743417933,331614
11,/segment_360p_11.m4s,1638743421824,309272
12,/segment_360p_12.m4s,1638743425614,320189
13,/segment_360p_13.m4s,1638743429913,308431
14,/segment_360p_14.m4s,1638743433600,327211
15,/segment_360p_15.m4s,1638743438007,286016
16,/segment_360p_16.m4s,1638743441486,239042
17,/segment_360p_17.m4s,1638743445683,332390
18,/segment_360p_18.m4s,1638743449583,233176
19,/segment_360p_19.m4s,1638743453778,220516
20,/segment_360p_20.m4s,1638743457765,247159
21,/segment_360p_21.m4s,1638743461575,256705
22,/segment_360p_22.m4s,1638743465791,297881
23,/segment_360p_23.m4s,1638743469951,225188
24,/segment_360p_24.m4s,1638743473536,342751
25,/segment_360p_25.m4s,1638743477530,273559
26,/segment_360p_26.m4s,1638743482035,324346
27,/segment_360p_27.m4s,1638743485829,299669
28,/segment_360p_28.m4s,1638743490023,299859
29,/segment_360p_29.m4s,1638743493699,295688
30,/segment_360p_30.m4s,1638743497804,344337
31,/segment_360p_31.m4s,1638743501798,290096
32,/segment_360p_32.m4s,1638743506078,336122
33,/segment_360p_33.m4s,1638743509989,297474
34,/segment_360p_34.m4s,1638743513480,334339
35,/segment_360p_35.m4s,1638743517978,290883
36,/segment_360p_36.m4s,1638743521458,198909
37,/segment_360p_37.m4s,1638743525879,146360
38,/segment_360p_38.m4s,1638743529865,119079
39,/segment_360p_39.m4s,1638743533554,151317
40,/segment_360p_40.m4s,1638743537545,117435
41,/segment_360p_41.m4s,1638743541751,71734
42,/segment_360p_42.m4s,1638743545624,234119
43,/segment_360p_43.m4s,1638743549834,235956
44,/segment_360p_44.m4s,1638743553926,207272
45,/segment_360p_45.m4s,1638743557810,158692
46,/segment_360p_46.m4s,1638743561918,164905
47,/segment_360p_47.m4s,1638743565900,201307
48,/segment_360p_48.m4s,1638743569790,193470
49,/segment_360p_49.m4s,1638743573579,238089
50,/segment_360p_50.m4s,1638743577777,221497
51,/segment_360p_51.m4s,1638743581784,168431
52,/segment_360p_52.m4s,1638743586039,176496
53,/segment_360p_53.m4s,1638743589658,198698
54,/segment_360p_54.m4s,1638743593996,124082
55,/segment_360p_55.m4s,1638743597746,124408
56,/segment_360p_56.m4s,1638743601535,142987
57,/segment_360p_57.m4s,1638743605953,107643
58,/segment_360p_58.m4s,1638743609626,104950
59,/segment_360p_59.m4s,1638743613822,32337
