ID,URL,TIME,SIZE
29,/segment_360p_29.m4s,1638746899019,295688
30,/segment_360p_30.m4s,1638746900364,344337
30,/segment_720p_30.m4s,1638746909270,1309569
33,/segment_360p_33.m4s,1638746915630,297474
36,/segment_360p_36.m4s,1638746922327,198909
39,/segment_360p_39.m4s,1638746931900,151317
38,/segment_1080p_38.m4s,1638746939883,556124
39,/segment_1080p_39.m4s,1638746942335,615803
40,/segment_1080p_40.m4s,1638746945020,461556
41,/segment_1080p_41.m4s,1638746947143,216305
41,/segment_720p_41.m4s,1638746948529,330937
43,/segment_360p_43.m4s,1638746956089,235956
45,/segment_360p_45.m4s,1638746959031,158692
47,/segment_360p_47.m4s,1638746963689,201307
49,/segment_360p_49.m4s,1638746972120,238089
48,/segment_720p_48.m4s,1638746979744,648040
50,/segment_360p_50.m4s,1638746990999,221497
52,/segment_360p_52.m4s,1638746993620,176496
54,/segment_360p_54.m4s,1638746996201,124082
56,/segment_360p_56.m4s,1638747001770,142987
55,/segment_1080p_55.m4s,1638747010174,311011
58,/segment_1080p_58.m4s,1638747016799,300106
